model,condition,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_gt_matched,n_gt_missed,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used,overlap_mode
sam2_small,resized,image_40.jpg,image_40.json,raam,0,0.0007928417714350436,0.0015844273426889996,9,5,4,30,5,2.628598928451538,0.25509763562249765,0.3154930109983232,128,best
sam2_small,resized,image_40.jpg,image_40.json,raam,1,0.0,0.0,9,5,4,30,5,2.628598928451538,0.25509763562249765,0.3154930109983232,128,best
sam2_small,resized,image_40.jpg,image_40.json,raam,2,0.0,0.0,9,5,4,30,5,2.628598928451538,0.25509763562249765,0.3154930109983232,128,best
sam2_small,resized,image_40.jpg,image_40.json,raam,3,0.8218844984802431,0.9022355689022356,9,5,4,30,5,2.628598928451538,0.25509763562249765,0.3154930109983232,128,best
sam2_small,resized,image_40.jpg,image_40.json,raam,4,0.40796067848882034,0.5795057841056883,9,5,4,30,5,2.628598928451538,0.25509763562249765,0.3154930109983232,128,best
sam2_small,resized,image_40.jpg,image_40.json,deur,5,0.3588718019446935,0.5281908145140827,9,5,4,30,5,2.628598928451538,0.25509763562249765,0.3154930109983232,128,best
sam2_small,resized,image_40.jpg,image_40.json,raam,6,0.0,0.0,9,5,4,30,5,2.628598928451538,0.25509763562249765,0.3154930109983232,128,best
sam2_small,resized,image_40.jpg,image_40.json,raam,7,0.0,0.0,9,5,4,30,5,2.628598928451538,0.25509763562249765,0.3154930109983232,128,best
sam2_small,resized,image_40.jpg,image_40.json,raam,8,0.706368899917287,0.8279205041202132,9,5,4,30,5,2.628598928451538,0.25509763562249765,0.3154930109983232,128,best
