model,condition,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_gt_matched,n_gt_missed,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used,overlap_mode
fastsam_x,original,image_411.jpg,image_411.json,raam,0,0.9519607843137254,0.9753892516323456,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
fastsam_x,original,image_411.jpg,image_411.json,raam,1,0.6088971269694161,0.7569124423963134,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
fastsam_x,original,image_411.jpg,image_411.json,raam,2,0.47,0.6394557823129252,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
fastsam_x,original,image_411.jpg,image_411.json,raam,3,0.4176682692307692,0.5892327257312421,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
fastsam_x,original,image_411.jpg,image_411.json,raam,4,0.40496926229508196,0.5764813126709207,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
fastsam_x,original,image_411.jpg,image_411.json,raam,5,0.4158312447786132,0.5874022717214928,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
fastsam_x,original,image_411.jpg,image_411.json,raam,6,0.8791846006695361,0.9357086050580563,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
fastsam_x,original,image_411.jpg,image_411.json,raam,7,0.7560864272671941,0.8611038904774283,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
fastsam_x,original,image_411.jpg,image_411.json,raam,8,0.4564802336028751,0.6268265412345299,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
fastsam_x,original,image_411.jpg,image_411.json,raam,9,0.6979237083534524,0.8220907746558981,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
fastsam_x,original,image_411.jpg,image_411.json,raam,10,0.79,0.88268156424581,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
fastsam_x,original,image_411.jpg,image_411.json,deur,11,0.7921900161030596,0.8840469023765668,12,12,0,118,23,1.179328441619873,0.6367659727986436,0.7614443387094606,,best
