model,condition,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_gt_matched,n_gt_missed,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used,overlap_mode
fastsam_x,resized,image_171.jpg,image_171.json,raam,0,0.0,0.0,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,1,0.0,0.0,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,2,0.5529928610653487,0.7121640735502122,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,3,0.3569195794259733,0.5260732984293194,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,4,0.35136918508742987,0.52001953125,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,5,0.48591022443890275,0.6540236636737434,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,6,0.6198406951484432,0.7653106839517211,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,7,0.42762284196547146,0.5990697674418605,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,8,0.4970466256126681,0.6640362659503022,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,9,0.53667761520852,0.6984908348986333,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,10,0.526697658252596,0.6899829254410927,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,11,0.4167183430484931,0.5882867898100324,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,12,0.4304259634888438,0.6018150879183211,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,deur,13,0.48559784485735996,0.6537406425814851,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,deur,14,0.4519416138804737,0.6225341426403642,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,15,0.5903890160183066,0.7424460431654676,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,16,0.0,0.0,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,zonnepaneel,17,0.0,0.0,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,zonnepaneel,18,0.0,0.0,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,zonnepaneel,19,0.0,0.0,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,zonnepaneel,20,0.0,0.0,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
fastsam_x,resized,image_171.jpg,image_171.json,raam,21,0.5892063492063492,0.7415101877746704,22,15,7,82,20,0.9835922718048096,0.33269801894114454,0.4445229062944193,,best
