model,condition,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_gt_matched,n_gt_missed,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used,overlap_mode
fastsam_x,original,image_234.jpg,image_234.json,raam,0,0.44507986590416093,0.6159934497816594,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,1,0.0,0.0,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,2,0.5257936507936508,0.6892067620286085,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,3,0.0,0.0,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,4,0.34656084656084657,0.5147347740667977,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,5,0.5048025007104291,0.670921932243079,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,6,0.48939732142857145,0.6571749718995878,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,7,0.3077056427147439,0.4706038311128786,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,8,0.36244629430719655,0.5320522296132052,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,9,0.5450976444533924,0.7055834256303343,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,10,0.5739563385675986,0.7293167218220752,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,deur,11,0.4881674438172703,0.6560652107333852,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,deur,12,0.8606975577116093,0.9251342907873149,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,13,0.4941336685522732,0.661431676365421,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,14,0.3787945205479452,0.5494575368596749,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,zonnepaneel,15,0.548833093684327,0.7087052774405485,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
fastsam_x,original,image_234.jpg,image_234.json,raam,16,0.0,0.0,17,14,3,122,24,1.195845603942871,0.404203905279648,0.5344930641402688,,best
