model,condition,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_gt_matched,n_gt_missed,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used,overlap_mode
sam2_small,original,image_432.jpg,image_432.json,raam,0,0.0,0.0,9,0,9,40,0,2.8440825939178467,0.0,0.0,128,best
sam2_small,original,image_432.jpg,image_432.json,deur,1,0.0,0.0,9,0,9,40,0,2.8440825939178467,0.0,0.0,128,best
sam2_small,original,image_432.jpg,image_432.json,raam,2,0.0,0.0,9,0,9,40,0,2.8440825939178467,0.0,0.0,128,best
sam2_small,original,image_432.jpg,image_432.json,raam,3,0.0,0.0,9,0,9,40,0,2.8440825939178467,0.0,0.0,128,best
sam2_small,original,image_432.jpg,image_432.json,raam,4,0.0,0.0,9,0,9,40,0,2.8440825939178467,0.0,0.0,128,best
sam2_small,original,image_432.jpg,image_432.json,raam,5,0.0,0.0,9,0,9,40,0,2.8440825939178467,0.0,0.0,128,best
sam2_small,original,image_432.jpg,image_432.json,raam,6,0.0,0.0,9,0,9,40,0,2.8440825939178467,0.0,0.0,128,best
sam2_small,original,image_432.jpg,image_432.json,raam,7,0.0,0.0,9,0,9,40,0,2.8440825939178467,0.0,0.0,128,best
sam2_small,original,image_432.jpg,image_432.json,raam,8,0.0,0.0,9,0,9,40,0,2.8440825939178467,0.0,0.0,128,best
