model,condition,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_gt_matched,n_gt_missed,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used,overlap_mode
sam2_small,resized,image_44.jpg,image_44.json,raam,1,0.9422426029042472,0.9702625217831244,7,4,3,31,4,2.702773332595825,0.29018460608407975,0.33372211440098914,128,best
sam2_small,resized,image_44.jpg,image_44.json,raam,2,0.33024615843652094,0.4965188680938111,7,4,3,31,4,2.702773332595825,0.29018460608407975,0.33372211440098914,128,best
sam2_small,resized,image_44.jpg,image_44.json,raam,3,0.004775853285787061,0.009506305849546866,7,4,3,31,4,2.702773332595825,0.29018460608407975,0.33372211440098914,128,best
sam2_small,resized,image_44.jpg,image_44.json,deur,4,0.0,0.0,7,4,3,31,4,2.702773332595825,0.29018460608407975,0.33372211440098914,128,best
sam2_small,resized,image_44.jpg,image_44.json,raam,5,0.0,0.0,7,4,3,31,4,2.702773332595825,0.29018460608407975,0.33372211440098914,128,best
sam2_small,resized,image_44.jpg,image_44.json,raam,6,0.0,0.0,7,4,3,31,4,2.702773332595825,0.29018460608407975,0.33372211440098914,128,best
sam2_small,resized,image_44.jpg,image_44.json,raam,7,0.7540276279620028,0.859767105080442,7,4,3,31,4,2.702773332595825,0.29018460608407975,0.33372211440098914,128,best
