model,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used
sam_vit_b,image_109.jpg,image_109.json,raam,0,0.922883064516129,0.9598951507208388,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
sam_vit_b,image_109.jpg,image_109.json,raam,1,0.7796402289452167,0.8761773489547439,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
sam_vit_b,image_109.jpg,image_109.json,raam,2,0.9104455147501506,0.9531237690065391,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
sam_vit_b,image_109.jpg,image_109.json,raam,3,0.0,0.0,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
sam_vit_b,image_109.jpg,image_109.json,raam,4,0.8569444444444444,0.9229618548990277,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
sam_vit_b,image_109.jpg,image_109.json,raam,5,0.48009811573196565,0.6487382297551789,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
sam_vit_b,image_109.jpg,image_109.json,deur,6,0.9499445002378561,0.9743297823317341,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
sam_vit_b,image_109.jpg,image_109.json,deur,7,0.6090909090909091,0.7570621468926554,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
sam_vit_b,image_109.jpg,image_109.json,raam,8,0.7622950819672131,0.8651162790697674,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
sam_vit_b,image_109.jpg,image_109.json,deur,9,0.901766479965532,0.9483461712732215,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
sam_vit_b,image_109.jpg,image_109.json,raam,10,0.0,0.0,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
sam_vit_b,image_109.jpg,image_109.json,raam,11,0.4934340118187787,0.6608045724335019,12,90,14,3.953596353530884,0.6388785292890163,0.7138796087781007,128
