model,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used
fastsam_x,image_206.jpg,image_206.json,raam,0,0.0,0.0,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,1,0.5103514684641309,0.6758049091488684,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,2,0.48624629707998307,0.6543280182232346,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,3,0.5220088626292467,0.6859472049689441,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,4,0.0,0.0,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,5,0.36608066184074456,0.5359576078728236,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,6,0.4795898244922106,0.6482740237238438,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,7,0.4483881471833279,0.6191546762589928,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,8,0.6396853146853146,0.7802537583964175,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,9,0.44023668639053254,0.6113393590797042,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,10,0.0,0.0,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,11,0.3549257759784076,0.5239043824701195,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,12,0.42799678197908286,0.5994366197183099,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
fastsam_x,image_206.jpg,image_206.json,raam,13,0.45703787450537026,0.6273520853540252,45,137,41,1.1545953750610352,0.38593902724231943,0.5169345661200484,
