model,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used
sam2_base_plus,image_209.jpg,image_209.json,raam,0,0.4354978354978355,0.6067551266586249,11,60,8,3.2725136280059814,0.3425805927035344,0.4592113463654522,128
sam2_base_plus,image_209.jpg,image_209.json,raam,1,0.39420654911838793,0.5654923215898826,11,60,8,3.2725136280059814,0.3425805927035344,0.4592113463654522,128
sam2_base_plus,image_209.jpg,image_209.json,zonnepaneel,2,0.31655518910088465,0.4808840399878257,11,60,8,3.2725136280059814,0.3425805927035344,0.4592113463654522,128
sam2_base_plus,image_209.jpg,image_209.json,raam,3,0.4054667919799499,0.5769852326553357,11,60,8,3.2725136280059814,0.3425805927035344,0.4592113463654522,128
sam2_base_plus,image_209.jpg,image_209.json,raam,4,0.0,0.0,11,60,8,3.2725136280059814,0.3425805927035344,0.4592113463654522,128
sam2_base_plus,image_209.jpg,image_209.json,raam,5,0.0,0.0,11,60,8,3.2725136280059814,0.3425805927035344,0.4592113463654522,128
sam2_base_plus,image_209.jpg,image_209.json,raam,6,0.6202876020209872,0.7656512353082274,11,60,8,3.2725136280059814,0.3425805927035344,0.4592113463654522,128
sam2_base_plus,image_209.jpg,image_209.json,raam,7,0.0,0.0,11,60,8,3.2725136280059814,0.3425805927035344,0.4592113463654522,128
sam2_base_plus,image_209.jpg,image_209.json,raam,8,0.35618490512198603,0.5252748408815948,11,60,8,3.2725136280059814,0.3425805927035344,0.4592113463654522,128
sam2_base_plus,image_209.jpg,image_209.json,deur,9,0.5923325865073438,0.7439809893064849,11,60,8,3.2725136280059814,0.3425805927035344,0.4592113463654522,128
sam2_base_plus,image_209.jpg,image_209.json,deur,10,0.6478550603915035,0.7863010236319979,11,60,8,3.2725136280059814,0.3425805927035344,0.4592113463654522,128
