model,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used
sam2_large,image_4.jpg,image_4.json,deur,0,0.0,0.0,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,1,0.34826011875192203,0.5166067198877095,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,2,0.0,0.0,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,3,0.0,0.0,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,4,0.46737127896829245,0.637018436529439,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,5,0.0,0.0,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,6,0.0,0.0,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,7,0.5797041050218795,0.7339401134414985,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,8,0.5652065704330512,0.7222133884560343,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,9,0.0,0.0,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,10,0.7737268518518519,0.8724306688417618,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,11,0.0,0.0,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,12,0.0,0.0,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,13,0.7111777944486122,0.8312143796580447,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,raam,14,0.0,0.0,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
sam2_large,image_4.jpg,image_4.json,zonnepaneel,15,0.6644074006228247,0.7983711204050187,16,37,7,3.1573338508605957,0.2568658825061521,0.3194871767012192,128
