model,file,json_file,label,gt_index,iou,dice,n_gt_objects,n_generated_masks,n_filtered_masks,runtime_sec,image_mean_iou,image_mean_dice,points_per_batch_used
sam_vit_h,image_427.jpg,image_427.json,raam,0,0.8483923732330754,0.9179786559594252,5,61,10,8.885301113128662,0.8261192457892935,0.9038684380047938,128
sam_vit_h,image_427.jpg,image_427.json,raam,1,0.8050630207220679,0.8920054441091189,5,61,10,8.885301113128662,0.8261192457892935,0.9038684380047938,128
sam_vit_h,image_427.jpg,image_427.json,raam,2,0.7706103286384977,0.8704459882271836,5,61,10,8.885301113128662,0.8261192457892935,0.9038684380047938,128
sam_vit_h,image_427.jpg,image_427.json,raam,3,0.7873329156223893,0.881014285296953,5,61,10,8.885301113128662,0.8261192457892935,0.9038684380047938,128
sam_vit_h,image_427.jpg,image_427.json,raam,4,0.9191975907304375,0.957897816431288,5,61,10,8.885301113128662,0.8261192457892935,0.9038684380047938,128
